2134,QY,HND,EZE,P8000V,61,2023-05-12T18:44:00,-2,622,0
3378,NV,SCL,MAD,N8000K,93,2023-05-30T12:07:00,-1,656,0
3462,TD,AMS,HND,S8000D,1,2023-05-08T07:28:00,-5,257,0
3358,HS,PRG,MAD,X8000K,28,2023-05-12T19:01:00,-3,1072,0
2886,WA,HND,AMS,X8000U,24,2023-05-09T11:14:00,0,752,0
2061,QL,HND,EZE,C8000O,6,2023-05-01T12:34:00,5,1182,0
318,CQ,WAW,FRA,R8000T,81,2023-05-04T12:33:00,-3,85,0
463,YC,BRC,GIG,R8000Y,20,2023-05-05T11:54:00,3,541,0
1302,YS,SCL,PRG,D8000C,34,2023-05-08T00:12:00,0,465,0
2260,GQ,FRA,HND,Q8000R,40,2023-05-19T13:46:00,-3,104,0
2223,FI,SCL,MAD,T8000L,17,2023-05-13T21:11:00,3,732,0
783,YZ,EZE,AMS,W8000X,70,2023-05-08T09:40:00,5,378,0
2310,MR,FRA,BRC,O8000E,58,2023-05-12T22:41:00,0,327,0
3003,FX,BRC,AMS,V8000Q,43,2023-05-26T20:20:00,3,471,0
2596,VJ,PRG,HND,R8000D,32,2023-05-22T07:54:00,-2,87,0
2954,UU,EZE,BRC,D8000V,17,2023-05-28T00:42:00,-5,1053,0
193,JH,SCL,EZE,S8000A,33,2023-05-17T22:28:00,0,286,0
2081,ZV,HND,MAD,W8000F,42,2023-05-19T23:59:00,-1,87,0
922,LE,PRG,MAD,T8000T,13,2023-05-29T18:30:00,0,547,0
1657,KR,AMS,GIG,R8000D,87,2023-05-18T13:01:00,2,400,0
562,CC,PRG,BRC,Y8000T,60,2023-05-21T06:30:00,4,141,0
887,TS,PRG,FRA,Y8000Z,15,2023-05-08T09:08:00,4,940,0
986,CI,BRC,SCL,R8000G,18,2023-05-17T06:54:00,-4,703,0
1153,NF,SCL,GIG,C8000K,12,2023-05-28T03:12:00,2,750,0
1616,WW,AMS,EZE,S8000U,51,2023-05-19T18:01:00,-3,461,0
1228,MI,AMS,BRC,H8000J,37,2023-05-28T21:39:00,-3,1065,0
3207,CZ,PRG,EZE,R8000V,45,2023-05-15T15:58:00,-2,737,0
1378,QC,GIG,SCL,M8000Y,29,2023-05-15T10:47:00,1,963,0
1649,WK,AMS,WAW,R8000T,24,2023-05-02T13:51:00,-2,584,0
1388,BE,SCL,FRA,A8000E,57,2023-05-28T09:45:00,-2,591,0
