SLC,CNY,54.0,137.0,410.0
SLC,SUN,57.0,161.0,1204.0
SLC,RKS,54.0,165.0,58.0
SLC,CDC,58.0,167.0,1142.0
SLC,IDA,56.0,189.0,2637.0
SLC,GJT,63.0,207.0,1234.0
SLC,VEL,45.0,208.0,397.0
SLC,EKO,55.0,210.0,1035.0
SLC,GCC,86.0,223.0,660.0
SLC,TWF,52.0,236.0,1611.0
SLC,DEN,85.0,238.0,11938.0
SLC,PIH,51.0,238.0,1302.0
SLC,WYS,67.0,238.0,415.0
SLC,MSO,89.0,256.0,1995.0
SLC,JAC,58.0,260.0,1886.0
SLC,SGU,67.0,300.0,2381.0
SLC,LWS,88.0,314.0,1174.0
SLC,BZN,78.0,326.0,2113.0
SLC,BTM,78.0,328.0,1287.0
SLC,RDM,97.0,331.0,1186.0
ABQ,DEN,75.0,217.0,3202.0
ABQ,LAS,85.0,230.0,2517.0
AUS,HOU,48.0,166.0,2585.0
BIL,DEN,88.0,258.0,2188.0
BNA,ATL,64.0,203.0,6411.0
BNA,CMH,70.0,186.0,1245.0
BNA,RSW,118.0,297.0,201.0
BOS,MVY,40.0,167.0,168.0
BOS,ACK,46.0,169.0,232.0
BUR,LAS,59.0,148.0,6080.0
BUR,OAK,65.0,169.0,7249.0
BUR,SJC,60.0,191.0,4134.0
BWI,PIT,59.0,170.0,1872.0
BWI,PHL,56.0,181.0,14.0
BWI,ORF,53.0,191.0,2244.0
BWI,BDL,67.0,207.0,4292.0
BWI,BUF,66.0,222.0,3531.0
BWI,RDU,63.0,222.0,3820.0
BWI,ISP,65.0,235.0,2972.0
BWI,ALB,70.0,236.0,3319.0
BWI,CHS,91.0,244.0,2000.0
BWI,DAY,81.0,244.0,1354.0
COS,DEN,44.0,154.0,4055.0
CPR,DEN,64.0,257.0,1864.0
CVG,ORD,77.0,198.0,7730.0
CVG,STL,75.0,191.0,97.0
DCA,EWR,73.0,192.0,2761.0
DCA,HPN,69.0,331.0,6.0
DSM,ORD,78.0,271.0,6026.0
EGE,DEN,58.0,257.0,12.0
EUG,SFO,93.0,233.0,3626.0
FAT,SAN,70.0,195.0,388.0
GEG,BOI,59.0,172.0,1159.0
GTF,DEN,114.0,322.0,1514.0
HLN,DEN,112.0,338.0,656.0
IND,DTW,67.0,203.0,1473.0
JFK,BUF,82.0,214.0,4796.0
JFK,MVY,59.0,185.0,242.0
JFK,HYA,61.0,187.0,163.0
JFK,PWM,74.0,201.0,2281.0
JFK,PSE,230.0,667.0,649.0
LAS,RNO,72.0,184.0,6383.0
LGB,PHX,92.0,256.0,2.0
MCO,ATL,88.0,254.0,16292.0
MCO,MIA,65.0,167.0,6024.0
MCO,ILG,141.0,465.0,122.0
MCO,ORH,166.0,624.0,634.0
MCO,BQN,161.0,637.0,880.0
MFR,SFO,80.0,322.0,2529.0
MIA,PBI,49.0,159.0,1.0
MIA,EYW,46.0,166.0,1070.0
MIA,TPA,63.0,208.0,3969.0
OAK,ONT,70.0,177.0,4246.0
OAK,BOI,90.0,229.0,1314.0
OKC,STL,81.0,216.0,829.0
ONT,PHX,69.0,209.0,5921.0
PDX,BOI,76.0,270.0,121.0
PDX,SEA,52.0,180.0,3667.0
PHL,PVD,71.0,183.0,564.0
PHL,EWR,61.0,185.0,2.0
PHL,RIC,63.0,193.0,12.0
PHX,YUM,57.0,149.0,3710.0
PHX,FLG,51.0,155.0,3217.0
PHX,TUS,51.0,173.0,2286.0
PHX,SAN,69.0,190.0,10130.0
PSP,LAX,55.0,205.0,1438.0
RAP,DEN,73.0,261.0,1127.0
SAN,LAX,52.0,200.0,9077.0
SAT,IAH,60.0,181.0,4552.0
SAT,DAL,59.0,175.0,6011.0
SAT,ELP,83.0,219.0,1587.0
SAT,MSY,85.0,226.0,475.0
SEA,BLI,46.0,223.0,493.0
SEA,PSC,62.0,303.0,347.0
SEA,SIT,138.0,367.0,590.0
SFO,SBP,62.0,156.0,2025.0
SFO,SBA,70.0,175.0,4065.0
SFO,MRY,42.0,191.0,1503.0
SFO,SMF,50.0,198.0,3079.0
SFO,MMH,66.0,240.0,262.0
SFO,BFL,72.0,243.0,1285.0
SFO,RDD,65.0,260.0,1412.0
SFO,CEC,91.0,261.0,348.0
SFO,ACV,72.0,327.0,2535.0
SFO,OTH,91.0,414.0,477.0
SFO,LIH,316.0,804.0,856.0
ATL,MLU,92.0,233.0,2370.0
ATL,CSG,43.0,125.0,2119.0
ATL,AGS,54.0,139.0,4689.0
ATL,MGM,54.0,163.0,4370.0
ATL,CHA,47.0,164.0,5401.0
ATL,DHN,57.0,173.0,2485.0
ATL,CAE,60.0,180.0,5347.0
ATL,ABY,52.0,181.0,1730.0
ATL,MOB,74.0,185.0,4465.0
ATL,VLD,62.0,192.0,1846.0
ATL,TLH,63.0,197.0,4177.0
ATL,BHM,53.0,198.0,6385.0
ATL,DAB,79.0,201.0,2965.0
ATL,GSO,75.0,202.0,5301.0
ATL,SAV,63.0,216.0,6248.0
ATL,ECP,65.0,225.0,4020.0
ATL,GPT,77.0,226.0,2804.0
ATL,VPS,69.0,228.0,4376.0
ATL,TYS,55.0,230.0,3395.0
ATL,GSP,54.0,241.0,4901.0
ATL,HSV,54.0,267.0,4886.0
ATL,GNV,74.0,269.0,4137.0
ATL,AVL,56.0,279.0,3659.0
ATL,GTR,67.0,289.0,1824.0
ATL,BQK,65.0,307.0,1737.0
ATL,TRI,63.0,313.0,3818.0
ATL,FAY,78.0,321.0,3229.0
ATL,SRQ,90.0,343.0,3847.0
