3401,NN,BRC,FRA,U8000E,5,2023-05-17T18:05:00,-3,876,0
2741,GT,WAW,MAD,E8000C,67,2023-05-14T21:48:00,1,824,0
630,WO,AMS,EZE,M8000M,9,2023-05-27T09:29:00,-2,1153,0
2999,DZ,MAD,EZE,X8000S,60,2023-05-29T07:01:00,0,1164,0
2412,MZ,AMS,BRC,Y8000P,45,2023-05-18T03:56:00,-1,747,0
2866,YH,WAW,HND,M8000N,67,2023-05-26T20:55:00,-4,386,0
932,GO,FRA,PRG,F8000W,53,2023-05-12T19:39:00,-5,262,0
1628,OI,EZE,SCL,W8000B,75,2023-05-19T23:47:00,-5,555,0
3295,GW,FRA,HND,A8000C,9,2023-05-22T13:52:00,5,313,0
2072,GL,MAD,PRG,R8000I,83,2023-05-02T17:48:00,1,526,0
2443,ZN,FRA,SCL,Y8000W,97,2023-05-26T01:21:00,5,1068,0
984,AV,PRG,GIG,F8000Z,36,2023-05-31T09:44:00,-4,490,0
2711,JE,PRG,WAW,Q8000B,2,2023-05-22T18:39:00,0,787,0
271,DW,AMS,MAD,K8000T,59,2023-05-09T22:37:00,1,735,0
3392,CT,WAW,FRA,P8000H,64,2023-05-10T02:32:00,-3,613,0
794,VH,FRA,MAD,V8000R,12,2023-05-01T05:33:00,5,940,0
208,JS,AMS,FRA,Y8000D,11,2023-05-02T18:26:00,-3,843,0
1800,HR,PRG,BRC,K8000R,10,2023-05-17T16:12:00,-4,191,0
1832,BE,MAD,EZE,G8000M,42,2023-05-26T01:58:00,-2,823,0
1989,KT,FRA,WAW,R8000Z,26,2023-05-27T06:32:00,-3,236,0
515,KK,MAD,SCL,E8000M,21,2023-05-03T12:13:00,1,959,0
2217,XG,EZE,BRC,V8000L,92,2023-05-28T11:11:00,-1,778,0
3089,GJ,SCL,AMS,S8000Z,22,2023-05-25T05:20:00,-2,663,0
2772,VD,MAD,SCL,X8000G,7,2023-05-08T04:30:00,1,651,0
2225,LT,WAW,FRA,Z8000V,85,2023-05-20T02:48:00,-5,1154,0
2103,LW,PRG,GIG,T8000L,77,2023-05-01T23:59:00,-2,1088,0
3415,PD,SCL,FRA,F8000T,96,2023-05-20T15:06:00,0,632,0
416,OF,GIG,FRA,Z8000K,46,2023-05-16T23:45:00,-4,255,0
149,KZ,PRG,SCL,F8000X,28,2023-05-19T12:13:00,-1,692,0
2426,PF,WAW,BRC,D8000S,15,2023-05-26T12:02:00,-3,1038,0
1489,PO,GIG,HND,J8000Y,92,2023-05-17T16:05:00,4,342,0
2974,CC,BRC,EZE,D8000L,90,2023-05-13T07:30:00,2,191,0
2743,CA,PRG,WAW,T8000G,14,2023-05-29T15:13:00,3,391,0
1398,ZM,SCL,PRG,Y8000A,6,2023-05-01T18:28:00,1,104,0
894,HI,GIG,AMS,H8000D,18,2023-05-16T02:38:00,4,241,0
1650,TG,HND,BRC,Q8000Y,59,2023-05-07T09:45:00,-2,263,0
853,WT,AMS,GIG,X8000T,77,2023-05-07T11:24:00,2,109,0
1445,SU,AMS,MAD,S8000I,27,2023-05-25T22:01:00,5,539,0
2704,EM,EZE,GIG,O8000A,25,2023-05-12T16:06:00,1,997,0
1457,IP,BRC,FRA,T8000V,25,2023-05-03T17:40:00,-4,195,0
1135,BJ,WAW,EZE,A8000J,48,2023-05-19T12:31:00,-1,342,0
3353,YP,EZE,SCL,D8000L,1,2023-05-29T07:57:00,3,815,0
3315,RF,PRG,HND,A8000B,75,2023-05-25T04:17:00,-5,294,0
416,YX,AMS,GIG,L8000I,11,2023-05-03T02:32:00,3,442,0
510,SW,BRC,MAD,P8000R,4,2023-05-21T04:51:00,3,1071,0
1468,BI,WAW,PRG,O8000N,27,2023-05-11T03:57:00,5,1045,0
